Run,Time of Attack,Duration of Attack,Strategy 1 J,Strategy 1 J
1,1.2,5,19242,70.888
0.1,3.3,5,1190.8,66.559
5,5.4,5,97.148,65.907
0.1,7.5,5,68.315,65.873
0,9.6,5,66.483,65.875
