Run,Time of Attack,Duration of Attack,Strategy 1 J,Strategy 1 J
1,1.2,1,6221.1,65.926
0.1,3.3,1,428.71,65.89
5,5.4,1,75.66,65.88
0.1,7.5,1,66.608,65.875
0,9.6,1,66.068,65.876
